row_id,county_code,state,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k
0,8e686a7,fb8cab1,3876,408,24.583,,18.38,0.945944866,0.010761068,0.026038388,0.005685281,0.005635323,0,0.005935074,0,4.172,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.55,0.023,0.107,0.062,0.31,0.166,0.1,,0.262,0.342,11.02290771,,,217,,,0.471,0.218,0.19,0.083249749,0.327983952,0.389167503,0.199598796,10.00898242,9.752341845
1,d1b5fc5,842bd12,10224,1166,28.346,3,26.694,0.808959381,0.002284432,0.173426447,0.001803499,0.001492896,0,0.012033345,0,7.714,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.545,0.04,0.324,0.201,0.253,0.102,0.066,0.07,0.2,0.148,9.904098594,,18.26,181,2009,1690,0.472,0.29,0.077,0.099099099,0.202202202,0.302302302,0.396396396,14.48289269,3.013219285
2,19a463b,2b7da97,27023,2927,21.641,9,31.028,0.956620591,0.005140742,0.013088268,0.004728275,0.004708155,0,0.014808555,0.000905414,9.789,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.508,0.063,0.129,0.032,0.296,0.215,0.087,0.07,0.187,0.258,11.01150213,,19.94,234,4650,1350,0.496,0.208,0.192,0.137724551,0.387225549,0.255489022,0.219560878,9.62034648,10.87357169
3,1711ab7,5029ed4,8735,1039,23.11,0,27.734,0.89483527,0.000298424,0.07657568,0.000994748,0.00429731,0,0.022998568,0,13.735,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.545,0.038,0.207,0.084,0.255,0.182,0.104,0.081,0.169,0.274,12.84576984,,30.31,231,4420,1749,0.503,0.193,0.215,0.077154309,0.308617234,0.398797595,0.215430862,9.383224625,10.87080902
4,1eb4681,b795815,3681,365,21.985,2,19.673,0.923885868,0.000496051,0.042888607,0,0.013621572,0,0.016905433,0.002202468,8.217,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.474,0.034,0.177,0.075,0.324,0.118,0.113,,0.178,0.34,11.56575007,,,270,,1249,0.516,0.222,0.23,0.092537313,0.362189055,0.346268657,0.199004975,9.543285617,14.72392638
5,abf992b,4522abc,8540,751,22.543,0,34.937,0.560636974,0.417546653,0.000597163,0.001293854,0,0,0.019925355,0,21.051,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.361,0.11,0.246,0.1,0.322,,0.148,0.129,,0.317,12.82285885,,39.16,388,,8770,0.515,0.199,0.185,0.317,0.388,0.198,0.097,10.45627376,14.13973384
6,279f041,4522abc,22712,1901,24.602,19,29.242,0.929798543,0.005563961,0.039415535,0.00238882,0.005106103,0,0.016234025,0.001493013,9.651,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.47,0.061,0.258,0.126,0.275,0.294,0.108,0.07,0.299,0.231,13.39549441,,26.49,254,2500,1489,0.494,0.218,0.162,0.142572283,0.287138584,0.292123629,0.278165503,10.9534807,6.818431761
7,83adc69,4c72956,27974,3873,38.012,49,29.966,0.537083739,0.008489049,0.396900256,0.017047598,0.024533847,0.002472249,0.013473262,0,15.655,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.462,0.106,0.297,0.117,0.267,0.15,0.078,0.05,0.169,0.188,8.035605699,,20.63,239,1410,7030,0.497,0.278,0.141,0.249003984,0.293824701,0.307768924,0.14940239,14.52671879,9.660625794
8,f11285d,78e8330,2027,295,55.572,,21.808,0.184898674,0.001981486,0.010407806,0.749382037,0,0.016572429,0.036757568,0,36.12,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.353,0.077,0.316,0.086,0.421,0.419,0.177,0.07,0.274,0.384,10.90479932,,,511,670,1980,0.5,0.415,0.075,0.181455633,0.432701894,0.29112662,0.094715852,26.81618723,6.825938567
9,e34c58f,9e0007d,17165,2223,29.769,,28.664,0.961331987,0.009077186,0.011856325,0.002779138,0.000799752,0,0.014055643,1.00E-04,17.793,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.41,0.073,0.269,0.063,0.379,0.163,0.124,0.081,,0.327,12.56382958,,39.48,345,4409,2859,0.51,0.223,0.19,0.177532598,0.425275827,0.26780341,0.129388164,11.68732014,15.32859576
